grien	dziwdu	dziwdu_qhanshiev	zyephev	chetxryn_ziosryo_sishiev	chetxryn_ziosryo_xrynmyuk	chetxryn_ziosryo_sieuxryn	diavko_xrynbu	chetxryn_dzankryen_pyunlyi	chetxryn_dzankryen	pyanchet_chetxryn	pyanchet_chetxryn_tyoshiek	pyanchet_xyavxryn	pyanchet_xyavxryn_tyoshiek	pyanchet_kuavxryn	pyanchet_kuavxryn_tyoshiek	pyanchet_dzipxryn	pyanchet_dzipxryn_tyoshiek	qhanziwqhwi_shievlyi	qhanziwqhwi_xrynlyi	qhanziwqhwi_deulyi	giwtha_potyo	qrimvrielan	thovqitmra
056D7-001-008-003	囗		xyui	1	8	3	微	2	[《切三》]	null		null		雨非切				云	微	平			U+56D7
056DB-003-006-034	四		sî	3	6	34	脂	0	[《藤田2018》]	息利反		息利反		息利切				心	至	去			U+56DB
056DE-001-015-004	回		xui	1	15	4	微	2	[《切三》]	户恢反		户恢反		户恢切				匣	灰	平			U+56DE
056EE-001-033-007	囮		ŋua	1	33	7	歌	2	[《切三》]	五和反		五和反		五禾切				疑	戈	平			U+56EE
056EE-001-043-005	囮		jyu	1	43	5	幽	2	[《切三》]	null		以周反		以周切				null	null	null			U+56EE
056F0-003-025-004	困		khûn	3	25	4	文	0	[《藤田2018》]	苦悶反		苦悶反		苦悶切				溪	慁	去			U+56F0
056FA-003-011-006	固		kô	3	11	6	魚	0	[《藤田2018》]	古暮反		古暮反		古暮切				見	暮	去			U+56FA
056FF-003-046-001	囿		xyû	3	46	1	職	2	[《P3694r》]	尤救反		尤救反		于救切				云	宥	去			U+56FF
056FF-004-001-043	囿		xyuk	4	1	43	職	2	[《切三》]	于目反		于目反		于六切				null	null	null			U+56FF
05704-002-008-001	圄		ŋió	2	8	1	魚	2	[《切三》]	魚舉反		魚舉反		魚巨切				疑	語	上			U+5704
05709-002-008-001	圉		ŋió	2	8	1	魚	2	[《切三》]	魚舉反		魚舉反		魚巨切				疑	語	上			U+5709
0570A-001-041-001	圊		chieŋ	1	41	1	耕	2	[《切三》]	七精反		七精反		七情切				清	清	平			U+570A
05712-001-021-002	園		xyan	1	21	2	元	2	[《切三》]	韋元反		韋元反		雨元切				云	元	平			U+5712
05713-001-028-035	圓		xryen	1	28	35	文	2	[《切三》]	王權反		王權反		王權切				云	仙	平			U+5713
05716-001-011-005	圖		do	1	11	5	魚	1	[《P3695》+《P3696(p13)》]	度都反		度都反		同都切				定	模	平			U+5716
0571F-002-010-002	土		thó	2	10	2	魚	2	[《切三》]	他古反		他古反		他魯切				透	姥	上			U+571F
0571F-002-010-003	土		dó	2	10	3	魚	2	[《切三》]	null		null		徒古切				定	姥	上			U+571F
0571F-002-032-227	土		thrá	2	32	227	魚	2	[《切三》]	null		null		null		丑下切		null	null	null			U+571F
05723-003-044-003	圣		shiêŋ	3	44	3	耕	0	[《藤田2018》]	null		null		null		null		書	勁	去	《分韵撮要》：“聖，通明也，睿也，生知安行也。圣，同上。”		U+5723
05723-004-010-012	圣		khut	4	10	12	物	2	[《切三》, 《P3694v》]	null		null		苦骨切				溪	没	入			U+5723
05725-004-001-021	圥		lyuk	4	1	21	覺	2	[《切三》]	null		力竹反		力竹切				null	null	null			U+5725
0572E-002-005-022	圮		brýi	2	5	22	微	2	[《切三》]	符鄙反		符鄙反		符鄙切				並	旨	上			U+572E
0573C-004-014-013	圼		net	4	14	13	質	2	[《切三》]	null		null		奴結切				null	null	null			U+573C
05740-002-006-001	址		tiə́	2	6	1	之	2	[《切三》]	諸市反		諸市反		諸市切				章	止	上			U+5740
0574E-002-033-011	坎		khə́m	2	33	11	談	1	[《P4917》]	苦感反		苦感反		苦感切				溪	感	上			U+574E
0574E-003-038-001	坎		khə̂m	3	38	1	談	0	[《藤田2018》]	null		null		null		苦紺切		null	null	null			U+574E
05764-001-022-016	坤		khun	1	22	16	文	2	[《切三》]	苦昆反		苦昆反		苦昆切				溪	魂	平			U+5764
05766-002-022-017	坦		thán	2	22	17	元	1	[《切一》]	他但反		他但反		他但切				透	旱	上			U+5766
05774-004-001-021	坴		lyuk	4	1	21	覺	2	[《切三》]	null		力竹反		力竹切				來	屋	入			U+5774
0578B-001-042-003	型		xeŋ	1	42	3	耕	2	[《切三》]	户經反		户經反		户經切				匣	青	平			U+578B
057A2-002-042-006	垢		kú	2	42	6	侯	2	[《切三》]	古厚反		古厚反		古厚切				見	厚	上			U+57A2
057A4-004-014-010	垤		det	4	14	10	質	2	[《切三》]	徒結反（原誤作“徒昃反”）		徒結反		徒結切				定	屑	入			U+57A4
057BB-003-012-009	垻		pâi	3	12	9	月	0	[《藤田2018》]	null		null		null		博蓋切		null	null	null			U+57BB
057BB-003-037-021	垻		prâ	3	37	21	月	0	[《藤田2018》]	null		null		必駕切				null	null	null			U+57BB
057C7-002-002-010	埇		jyóŋ	2	2	10	東	2	[《切三》]	null		null		余隴切				以	腫	上			U+57C7
057CB-001-014-010	埋		mrei	1	14	10	之	0	[《藤田2018》]	莫皆反		莫皆反		莫皆切				明	皆	平			U+57CB
057CE-001-041-009	城		dieŋ	1	41	9	耕	0	[《藤田2018》]	市征反		市征反		是征切				禪	清	平			U+57CE
057DC-002-032-003	埜		jiá	2	32	3	魚	2	[《切三》]	以者反		以者反		羊者切				以	馬	上			U+57DC
057E7-003-010-015	埧		gyô	3	10	15	侯	0	[《藤田2018》]	null		null		其遇切				null	null	null			U+57E7
057F6-003-014-023	埶		ŋiêi	3	14	23	月	3	[《P3696(1)v》]	null		null		魚祭切				疑	祭	去			U+57F6
057F6-003-014-027	埶		shiêi	3	14	27	月	3	[《P3696(1)v》]	null		null		null		null		書	祭	去	《禮·禮運》：“如有不由此者，在埶者去，衆以爲殃。”注：“埶，埶位也。”音義：“埶，音世，本亦作‘勢’。”		U+57F6
05800-004-006-006	堀		gyut	4	6	6	物	2	[《P3694v》]	衢物反，《切三》未收		衢物反		衢物切				群	物	入			U+5800
05800-004-010-012	堀		khut	4	10	12	物	2	[《切三》, 《P3694v》]	null		null		苦骨切				溪	没	入			U+5800
05805-001-027-006	堅		ken	1	27	6	真	2	[《切三》]	古賢反		古賢反		古賢切				見	先	平			U+5805
0581E-004-025-005	堞		dep	4	25	5	葉	2	[《切三》, 《P3799》]	徒協反		徒協反		徒協切				定	帖	入			U+581E
05821-002-030-015	堡		páu	2	30	15	幽	2	[《切三》]	博抱反		博抱反		博抱切				幫	皓	上			U+5821
05831-003-010-012	報		phyô	3	10	12	0	0	[《藤田2018》]	null		null		null		芳遇切		敷	遇	去			U+5831
05831-003-035-010	報		pâu	3	35	10	0	2	[《S6176v》]	博耗反		博耗反		博耗切				幫	號	去			U+5831
05834-001-037-011	場		driaŋ	1	37	11	陽	2	[《切三》]	直良反		直良反		直良切				澄	陽	平			U+5834
05835-002-010-005	堵		tó	2	10	5	魚	2	[《切三》]	當古反		當古反		當古切				端	姥	上			U+5835
05835-002-032-002	堵		tiá	2	32	2	魚	2	[《切三》]	null		null		章也切				null	null	null			U+5835
0584D-001-049-009	塍		zhiəŋ	1	49	9	蒸	2	[《切三》]	食陵反		食陵反		食陵切				船	蒸	平			U+584D
05852-001-007-003	塒		diə	1	7	3	之	2	[《切三》, 《P3696(2)》]	市之反		市之反		市之切				禪	之	平			U+5852
05854-004-021-004	塔		thap	4	21	4	葉	2	[《切三》]	null		吐盍反		吐盍切				透	盍	入			U+5854
05857-001-011-005	塗		do	1	11	5	魚	1	[《P3695》+《P3696(p13)》]	度都反		度都反		同都切				定	模	平			U+5857
05857-001-034-022	塗		dra	1	34	22	魚	2	[《切三》]	null		□□□（宅加反）	《王一》□□□，《王三》脱字（宅加反）	宅加切				null	null	null			U+5857
05857-003-011-002	塗		dô	3	11	2	魚	0	[《藤田2018》]	null		null		null		徒故切		null	null	null			U+5857
05858-001-038-001	塘		daŋ	1	38	1	陽	2	[《切三》]	徒郎反		徒郎反		徒郎切				定	唐	平			U+5858
05864-001-021-004	塤		qhyan	1	21	4	文	2	[《切三》]	况袁反		况袁反		况袁切				曉	元	平			U+5864
05872-001-037-005	塲		shiaŋ	1	37	5	陽	2	[《切三》]	書羊反		書羊反		式羊切				null	null	null			U+5872
05872-001-037-011	塲		driaŋ	1	37	11	陽	2	[《切三》]	null		null		null		null		澄	陽	平	《字彙》：“塲，同‘場’。”		U+5872
05875-001-017-019	塵		drin	1	17	19	真	2	[《切三》]	直珍反		直珍反		直珍切				澄	真	平			U+5875
05875-003-021-009	塵		drîn	3	21	9	真	3	[《S6176r》]	null		null		null		直刃切		null	null	null			U+5875
05885-002-008-024	墅		dió	2	8	24	魚	2	[《切三》]	null		null	《王三》署与反，《王一》字頭作“野”。《藤田2018》作“野”，今從之爲未收。	承與切				禪	語	上			U+5885
05889-001-003-006	墉		jyoŋ	1	3	6	東	2	[《P3798》]	餘〓反		餘封反		餘封切				以	鍾	平			U+5889
058A8-001-006-027	墨		mryi	1	6	27	職	2	[《切三》, 《P3696(2)》]	null		null		null		旻悲切		null	null	null			U+58A8
058A8-004-030-008	墨		mək	4	30	8	職	0	[《藤田2018》]	莫北反		莫北反		莫北切				明	德	入			U+58A8
058AB-001-017-033	墫		chyn	1	17	33	文	2	[《切三》]	七旬反		七旬反		七倫切				清	諄	平			U+58AB
058AD-003-044-014	墭		diêŋ	3	44	14	耕	0	[《藤田2018》]	承政反		承政反		承正切				null	null	null			U+58AD
058BB-001-037-024	墻		dziaŋ	1	37	24	陽	2	[《切三》]	null		null		在良切				從	陽	平			U+58BB
058C3-001-037-010	壃		kiaŋ	1	37	10	陽	2	[《切三》]	居良反		居良反		居良切				見	陽	平			U+58C3
058C5-001-003-010	壅		qyoŋ	1	3	10	東	2	[《P3696(2)》]	於容反		於容反		於容切				影	鍾	平			U+58C5
058C5-002-002-004	壅		qyóŋ	2	2	4	東	2	[《切三》]	於隴反		於隴反		於隴切				null	null	null			U+58C5
058C7-001-024-018	壇		dan	1	24	18	元	2	[《切三》]	徒干反		徒干反		徒干切				定	寒	平			U+58C7
058C7-002-026-010	壇		dién	2	26	10	元	2	[《切三》]	null		null		null		上演切		null	null	null			U+58C7
058C7-003-027-021	壇		dân	3	27	21	元	0	[《藤田2018》]	null		null		null		徒案切		null	null	null			U+58C7
058D1-004-028-014	壑		qhak	4	28	14	鐸	3	[《Дх1372+Дх3703》]	呵各反		呵各反		呵各切				曉	鐸	入			U+58D1
058D9-002-036-113	壙		khuáŋ	2	36	113	陽	2	[《切三》]	null		null		null		苦晃切		null	null	null			U+58D9
058D9-003-041-013	壙		khuâŋ	3	41	13	陽	0	[《藤田2018》]	苦謗反		苦謗反（《王三》原誤作“苦浪反”，《王一》無本）		苦謗切				溪	宕	去			U+58D9
058DC-001-035-001	壜		dəm	1	35	1	侵	2	[《切三》]	徒含反		徒南反		徒含切				定	覃	平			U+58DC
058DD-001-006-023	壝		jyi	1	6	23	微	1	[《大谷8107》]	〓〓反		以隹反		以追切				null	null	null			U+58DD
058DD-002-005-026	壝		jýi	2	5	26	微	2	[《切三》]	以〓反		以水反		以水切				null	null	null			U+58DD
058E2-004-016-004	壢		lek	4	16	4	錫	2	[《切三》]	null		null		null		狼狄切		來	錫	入			U+58E2
058EF-003-004-005	壯		drôŋ	3	4	5	東	0	[《藤田2018》]	null		null		null		null		null	null	null	見音義欄。	民族名。《大詞典》“壯族”詞條：“宋始稱‘撞’。解放後稱爲‘僮族’，1956年改‘僮’爲‘壯’。”撞，音drôŋ。今作“壯”者，現代音成zhuàng，與“壯”同矣，以改焉。	U+58EF
058EF-003-040-014	壯		criâŋ	3	40	14	陽	2	[《S6176v》]	側亮反		側亮反		側亮切				莊	漾	去			U+58EF
058FA-001-011-003	壺		xo	1	11	3	魚	1	[《P3695》+《P3696(p13)》]	户吴反		户吴反		户吴切				匣	模	平			U+58FA
058FC-001-017-044	壼		khryn	1	17	44	文	2	[《切三》]	null		null		去倫切				null	null	null			U+58FC
058FC-002-020-011	壼		khún	2	20	11	文	1	[《切一》]	苦本反		苦本反		苦本切				溪	混	上			U+58FC
05903-002-010-006	夃		kó	2	10	6	侯	2	[《切三》]	null		姑户反		公户切				null	null	null			U+5903
0590B-001-017-033	夋		chyn	1	17	33	文	2	[《切三》]	null		七旬反		七倫切				清	諄	平			U+590B
05912-001-032-016	夒		nau	1	32	16	幽	2	[《切三》]	null		奴刀反	《王一》奴刀反，《王三》脱字（奴刀反）。	null				null	null	null			U+5912
05914-001-006-026	夔		gryi	1	6	26	微	2	[《切三》]	渠追反		渠追反		渠追切				群	脂	平			U+5914
05915-004-017-011	夕		ziek	4	17	11	鐸	2	[《切三》]	詳亦反		詳昔反		祥易切				邪	昔	入			U+5915
05916-003-012-018	外		ŋuâi	3	12	18	月	0	[《藤田2018》]	吾會反		吾會反		五會切				疑	泰	去			U+5916
0591C-003-037-014	夜		jiâ	3	37	14	鐸	2	[《S6176v》]	以謝反		以謝反		羊謝切				以	禡	去			U+591C
0591F-001-044-006	够		khu	1	44	6	侯	2	[《切三》]	null		恪侯反		恪侯切				null	null	null			U+591F
0591F-001-044-012	够		ku	1	44	12	侯	2	[《切三》]	null		null		古侯切				null	null	null			U+591F
0591F-003-047-012	够		kû	3	47	12	侯	2	[《P3694r》]	null		null		null		居候切		null	null	null			U+591F
05927-003-012-001	大		thâi	3	12	1	月	0	[《藤田2018》]	null		null		null		他蓋切		透	泰	去			U+5927
05927-003-012-006	大		dâi	3	12	6	月	0	[《藤田2018》]	徒蓋反		徒蓋反		徒蓋切				定	泰	去			U+5927
05927-003-036-023	大		dâ	3	36	23	月	2	[《S6176v》]	null		null		唐佐切				定	個	去			U+5927
05928-004-014-024	夨		let	4	14	24	null	2	[《切三》]	null		null		練結切				null	null	null			U+5928
05928-004-029-025	夨		criək	4	29	25	職	0	[《藤田2018》]	null		阻力反		阻力切				null	null	null			U+5928
05929-001-027-005	天		then	1	27	5	真	2	[《切三》]	他前反		他前反		他前切				透	先	平			U+5929
0592A-003-012-001	太		thâi	3	12	1	月	0	[《藤田2018》]	他蓋反		他蓋反		他蓋切				透	泰	去			U+592A
05955-004-017-004	奕		jiek	4	17	4	鐸	2	[《切三》]	羊益反		羊益反		羊益切				以	昔	入			U+5955
05958-002-036-019	奘		dzáŋ	2	36	19	陽	2	[《切三》]	徂朗反		在朗反		徂朗切				從	蕩	上			U+5958
05958-003-041-008	奘		dzâŋ	3	41	8	陽	0	[《藤田2018》]	徂浪反		徂浪反		徂浪切				null	null	null			U+5958
05961-003-035-005	奡		ŋâu	3	35	5	宵	2	[《S6176v》]	五到反		五到反		五到切				疑	號	去			U+5961
05962-001-034-003	奢		shia	1	34	3	魚	2	[《切三》]	式車反		式車反		式車切				書	麻	平			U+5962
05969-001-047-002	奩		liem	1	47	2	談	2	[《S6187》]	力鹽反		力鹽反		力鹽切				來	鹽	平			U+5969
0596C-002-035-003	奬		ciáŋ	2	35	3	陽	1	[《P4917》]	即兩反		即兩反		即兩切				精	養	上			U+596C
0596D-004-017-005	奭		shiek	4	17	5	鐸	2	[《切三》]	∅隻反		施隻反		施隻切				書	昔	入			U+596D
0596E-003-022-005	奮		pyûn	3	22	5	文	1	[《TIVK75-100a》]	府問反		府問反		方問切				非	問	去			U+596E
05973-002-008-006	女		nió	2	8	6	魚	2	[《切三》]	null		null		null		忍與切		日	語	上			U+5973
05973-002-008-011	女		nrió	2	8	11	魚	2	[《切三》]	尼与反		尼与反		尼吕切				娘	語	上			U+5973
05973-003-009-021	女		nriô	3	9	21	魚	0	[《藤田2018》]	娘據反		娘據反（《王三》原誤作“娘舉反”，《王一》無本）		尼據切				娘	御	去			U+5973
05974-001-011-006	奴		no	1	11	6	魚	1	[《P3695》]	乃胡反		乃胡反		乃都切				泥	模	平			U+5974
0597D-002-030-013	好		qháu	2	30	13	0	2	[《切三》]	呼浩反		呼浩反		呼皓切				嘵	皓	上			U+597D
0597D-003-035-016	好		qhâu	3	35	16	0	2	[《S6176v》]	呼到反		呼到反		呼到切				嘵	號	去			U+597D
05982-001-009-019	如		nio	1	9	19	魚	2	[《切三》]	〓魚反		汝魚反		人諸切				日	魚	平			U+5982
05982-003-009-018	如		niô	3	9	18	魚	0	[《藤田2018》]	null		null		人恕切				null	null	null			U+5982
05983-001-008-004	妃		phyui	1	8	4	微	2	[《切三》]	芳非反		芳非反		芳非切				敷	微	平			U+5983
05983-003-018-004	妃		phûi	3	18	4	微	0	[《藤田2018》]	null		普佩反		滂佩切				滂	隊	去			U+5983
05984-001-010-003	妄		myo	1	10	3	魚	2	[《切三》]	null		null		null		null		微	虞	平	無音證，見音義欄。	｛無｝。《辭源》未收此音，然“妄其”爲音myaŋgiə，其詞條案：“在這個意義上，妄亦讀如無。”又“亡其”爲音myogiə，其詞條：“又作‘妄其’。”	U+5984
05984-001-037-018	妄		myaŋ	1	37	18	陽	2	[《切三》]	null		null		null		武方切		null	null	null			U+5984
05984-003-040-022	妄		myâŋ	3	40	22	陽	0	[《藤田2018》]	武放反		武放反		巫放切				微	漾	去			U+5984
0598D-001-027-014	妍		ŋen	1	27	14	元	2	[《切三》]	五賢反		五賢反		五堅切				疑	先	平			U+598D
05992-003-011-004	妒		tô	3	11	4	魚	0	[《藤田2018》]	當故反		當故反		當故切				端	暮	去			U+5992
05998-001-019-002	妘		xyun	1	19	2	文	2	[《切三》]	户分反		王分反		王分切				null	null	null			U+5998
05999-002-028-010	妙		miéu	2	28	10	宵	2	[《切三》]	null		null		null		弭沼切		明	小	上			U+5999
05999-003-033-010	妙		miêu	3	33	10	宵	0	[《藤田2018》]	彌照反		彌照反		彌笑切				明	笑	去			U+5999
0599D-001-037-021	妝		criaŋ	1	37	21	陽	2	[《切三》]	null		側羊反		側羊切				莊	陽	平			U+599D
059A4-001-009-006	妤		jio	1	9	6	魚	2	[《切三》]	与魚反		与魚反		以諸切				以	魚	平			U+59A4
059AF-001-043-010	妯		thryu	1	43	10	幽	2	[《切三》]	null		null		丑鳩切				null	null	null			U+59AF
059AF-004-001-022	妯		dryuk	4	1	22	覺	2	[《切三》]	直六反		直六反		直六切				null	null	null			U+59AF
059B2-003-027-020	妲		tân	3	27	20	元	0	[《藤田2018》]	null		null		null		得案切		null	null	null			U+59B2
059B2-004-011-019	妲		tat	4	11	19	月	2	[《切三》, 《P3694v》]	當割反		當割反		當割切				端	曷	入			U+59B2
059D1-001-011-004	姑		ko	1	11	4	魚	1	[《P3695》]	古胡反		古胡反		古胡切				見	模	平			U+59D1
059D1-002-010-006	姑		kó	2	10	6	魚	2	[《切三》]	null		null		null		null		null	null	null	見音義欄。	｛盬｝。《辭源》第二音項：“咀，用嘴吸食。通‘盬’。《孟子·滕文公》上：‘蠅蚋姑嘬之。’”	U+59D1
059D3-003-044-006	姓		siêŋ	3	44	6	耕	0	[《藤田2018》]	息正反		息正反		息正切				心	勁	去			U+59D3
059DD-001-010-024	姝		thyo	1	10	24	侯	2	[《切三》]	昌朱反		昌朱反		昌朱切				昌	虞	平			U+59DD
059DE-004-005-027	姞		grit	4	5	27	質	2	[《切三》, 《P3694v》]	巨乙反		巨乙反		巨乙切				群	質	入			U+59DE
059E3-001-031-001	姣		xrau	1	31	1	宵	2	[《切三》]	胡茅反		胡茅反		胡茅切				匣	肴	平			U+59E3
059E3-002-029-006	姣		kráu	2	29	6	宵	2	[《切三》]	null		古巧反		古巧切				見	巧	上			U+59E3
059E4-003-047-012	姤		kû	3	47	12	侯	2	[《P3694r》]	古候反		古候反		古候切				見	候	去			U+59E4
059E5-002-010-001	姥		mó	2	10	1	魚	2	[《切三》]	莫補反		莫補反		莫補切				明	姥	上			U+59E5
059E5-002-030-003	姥		láu	2	30	3	幽	2	[《切三》]	null		null		null		null		null	null	null	老聲音。見音義欄。	名詞｛姥姥｝=｛老老｝の詞音。《辭源》：“北方方言稱外祖母或尊稱年老的婦人爲姥姥。也作‘老老’。”	U+59E5
059EA-003-005-004	姪		drit	3	5	4	質	2	[《切三》]	null		null		直一切				澄	質	入			U+59EA
059EA-004-014-010	姪		det	4	14	10	質	2	[《切三》]	徒結反（原誤作“徒昃反”）		徒結反		徒結切				定	屑	入			U+59EA
059F6-004-020-012	姶		qəp	4	20	12	緝	2	[《切三》]	烏合反		烏合反		烏合切				影	合	入			U+59F6
05A01-001-008-007	威		qyui	1	8	7	微	2	[《切三》]	於非反		於非反		於非切				影	微	平			U+5A01
05A0C-002-006-010	娌		liə́	2	6	10	之	2	[《切三》]	良士反		良士反		良士切				來	止	上			U+5A0C
05A18-001-037-019	娘		nriaŋ	1	37	19	陽	2	[《切三》]	null		女良反		女良切				娘	陽	平			U+5A18
05A25-001-033-017	娥		ŋa	1	33	17	歌	2	[《切三》]	五哥反		五歌反		五何切				疑	歌	平			U+5A25
05A31-001-010-001	娱		ŋyo	1	10	1	魚	2	[《切三》, 《TIVK75(2)》]	語俱反		語俱反		遇俱切				疑	虞	平			U+5A31
05A31-003-011-007	娱		ŋô	3	11	7	魚	0	[《藤田2018》]	null		null		五故切				疑	暮	去			U+5A31
05A64-001-043-010	婤		thryu	1	43	10	幽	2	[《切三》]	null		敕鳩反		丑鳩切				null	null	null			U+5A64
05A64-001-043-012	婤		tyu	1	43	12	幽	2	[《切三》]	null		職鳩反		職流切				null	null	null			U+5A64
05A66-002-041-011	婦		byú	2	41	11	之	3	[《P3693v》]	房久反		房久反		房久切				奉	有	上			U+5A66
05A67-001-041-003	婧		cieŋ	1	41	3	耕	2	[《切三》]	子情反		子清反		子盈切				null	null	null			U+5A67
05A67-002-039-001	婧		dziéŋ	2	39	1	耕	2	[《切三》]	null		null		疾郢切				null	null	null			U+5A67
05A67-003-044-013	婧		dziêŋ	3	44	13	耕	0	[《藤田2018》]	null		疾政反		疾政切				從	勁	去			U+5A67
05A6A-001-035-006	婪		ləm	1	35	6	侵	2	[《切三》]	盧含反		盧含反		盧含切				來	覃	平			U+5A6A
05A93-001-038-009	媓		xuaŋ	1	38	9	陽	2	[《切三》]	null		胡光反		胡光切				null	null	null			U+5A93
05A9F-004-015-001	媟		siet	4	15	1	月	2	[《切三》]	私列反		私列反（《王三》誤作“私結反”，《王一》無本）		私列切				心	薛	入			U+5A9F
05AB5-003-052-002	媵		jiə̂ŋ	3	52	2	蒸	2	[《P3694r》]	null		以證反		以證切				以	證	去			U+5AB5
05AB5-003-052-003	媵		zhiə̂ŋ	3	52	3	蒸	2	[《P3694r》]	實證反		實證反		實證切				船	證	去			U+5AB5
05AB8-001-007-019	媸		thiə	1	7	19	之	2	[《切三》]	null		赤之反		赤之切				null	null	null			U+5AB8
05AE0-001-007-003	嫠		liə	1	7	3	之	2	[《切三》]	理之反		理之反		里之切				來	之	平			U+5AE0
05AFA-001-026-004	嫺		xren	1	26	4	元	2	[《切三》]	null		胡山反		户間切				匣	山	平			U+5AFA
05AFB-001-026-004	嫻		xren	1	26	4	元	2	[《切三》]	胡山反		null		null				匣	山	平			U+5AFB
05B00-001-005-004	嬀		krye	1	5	4	歌	2	[《切三》, 《P3696(2)》]	居爲反		居爲反		居爲切				見	支	平			U+5B00
05B03-001-010-008	嬃		syo	1	10	8	侯	2	[《切三》]	相俞反		相俞反		相俞切				null	null	null			U+5B03
05B17-001-024-025	嬗		than	1	24	25	元	2	[《切三》]	null		他單反		他干切				null	null	null			U+5B17
05B17-002-022-017	嬗		thán	2	22	17	元	1	[《切一》]	null		null		null		儻旱切		null	null	null			U+5B17
05B17-002-022-018	嬗		tán	2	22	18	元	1	[《切一》]	null		null		多旱切				端	旱	上			U+5B17
05B17-003-031-003	嬗		diên	3	31	3	元	0	[《藤田2018》]	null		null		時戰切				禪	線	去			U+5B17
05B19-001-037-024	嬙		dziaŋ	1	37	24	陽	2	[《切三》]	疾良反		疾良反		在良切				從	陽	平			U+5B19
05B19-004-029-017	嬙		sriək	4	29	17	職	0	[《藤田2018》]	null		null		所力切				null	null	null			U+5B19
05B34-001-041-004	嬴		jieŋ	1	41	4	耕	2	[《切三》]	以成反		以成反		以成切				以	清	平			U+5B34
05B38-002-044-010	嬸		shím	2	44	10	侵	2	[《切三》]	null		null		null		式荏切		null	null	null			U+5B38
05B3E-002-022-019	嬾		lán	2	22	19	0	1	[《切一》]	落旱反		落旱反		落旱切				來	旱	上			U+5B3E
05B40-001-037-023	孀		sriaŋ	1	37	23	陽	2	[《切三》]	所良反		所良反		色莊切				生	陽	平			U+5B40
05B50-001-007-020	子		dziə	1	7	20	之	2	[《切三》]	null		null		null		null		null	null	null	見音義欄。	｛慈｝。《辭源》第三音項：“通‘慈’。《書·召誥》：‘天迪從子保。’清王引之《經義述聞》：‘“子”當讀爲“慈”，古字“子”與“慈”通。’《禮·樂記》：‘君子曰：禮樂不可斯須去身，致樂以治心，則易直子諒之心，油然生矣。’子諒，《韓詩外傳》作‘慈良’。”按：皆音ciə̂。	U+5B50
05B50-002-006-017	子		ciə́	2	6	17	之	2	[《切三》, 《TIVK75-100br》]	即里反		即里反		即里切				精	止	上			U+5B50
05B50-003-007-503	子		ciə̂	3	7	503	之	0	[《藤田2018》]	null		null		null		將吏切		null	null	null			U+5B50
05B54-002-001-003	孔		khúŋ	2	1	3	東	2	[《切三》]	康董反		康董反		康董切				溪	董	上			U+5B54
05B55-003-052-002	孕		jiə̂ŋ	3	52	2	蒸	2	[《P3694r》]	以證反		以證反		以證切				以	證	去			U+5B55
05B57-003-007-009	字		dziə̂	3	7	9	之	0	[《藤田2018》]	疾置反		疾置反		疾置切				從	志	去			U+5B57
05B58-001-022-007	存		dzun	1	22	7	文	2	[《切三》]	徂尊反		徂尊反		徂尊切				從	魂	平			U+5B58
05B5A-001-010-019	孚		phyo	1	10	19	幽	2	[《切三》]	撫夫反		撫夫反		芳無切				敷	虞	平			U+5B5A
05B5A-001-043-030	孚		byu	1	43	30	幽	2	[《切三》]	null		null		null		房尤切		null	null	null			U+5B5A
05B5C-001-007-021	孜		ciə	1	7	21	之	2	[《切三》]	子之反		子慈反		子之切				精	之	平			U+5B5C
05B63-003-006-036	季		kŷi	3	6	36	脂	0	[《藤田2018》]	癸悸反		癸悸反		居悸切				見	至	去			U+5B63
05B65-001-011-006	孥		no	1	11	6	魚	1	[《P3695》]	乃胡反		乃胡反		乃都切				泥	模	平			U+5B65
05B73-001-007-021	孳		ciə	1	7	21	之	2	[《切三》]	子之反		子慈反		子之切				精	之	平			U+5B73
05B73-003-007-009	孳		dziə̂	3	7	9	之	0	[《藤田2018》]	疾置反		疾置反		疾置切				從	之	平			U+5B73
05B75-001-010-019	孵		phyo	1	10	19	幽	2	[《切三》]	撫夫反		撫夫反		芳無切				敷	虞	平			U+5B75
05B78-003-034-001	學		xrâu	3	34	1	覺	0	[《藤田2018》]	null		null		null		後教切		null	null	null			U+5B78
05B78-004-004-017	學		xrok	4	4	17	覺	2	[《切三》]	户角反		户角反		胡覺切				匣	覺	入			U+5B78
05B80-001-028-019	宀		mien	1	28	19	元	2	[《切三》]	null		武連反		武延切				明	仙	平			U+5B80
05B84-002-005-009	宄		krýi	2	5	9	幽	2	[《切三》]	居洧反		居洧反		居洧切				見	旨	上			U+5B84
05B88-002-041-008	守		shyú	2	41	8	幽	2	[《切三》]	書久反		書久反		書九切				書	有	上			U+5B88
05B88-003-046-005	守		shyû	3	46	5	幽	2	[《P3694r》]	null		null		舒救切				書	宥	去			U+5B88
05B8B-003-002-001	宋		sôŋ	3	2	1	冬	3	[《P3696(1)r》]	蘇統反		蘇統反		蘇統切				心	宋	去			U+5B8B
05B95-003-041-001	宕		dâŋ	3	41	1	陽	0	[《藤田2018》]	杜浪反		杜浪反		徒浪切				定	宕	去			U+5B95
05B99-003-046-003	宙		dryû	3	46	3	幽	2	[《P3694r》]	直祐反		直祐反		直祐切				澄	宥	去			U+5B99
