grien	dziwdu	dziwdu_qhanshiev	xreishievbu	xreishievbu_qhanshiev	pyunqhrua	xreishievbu_pyuideiqit	shievvuai	shievvuai_pyunqhrua_xryitriw	thovqitmra_xreishievbu	thonvqitmra_dziwdu
04ECB-04EF7	价		介			[]	[人]		U+4ECB	U+4EF7
04ECB-05C2C	尬		介			[]	[尢]		U+4ECB	U+5C2C
04ECB-073A0	玠		介			[]	[玉]		U+4ECB	U+73A0
04ECB-0754C	界		介			[]	[田]		U+4ECB	U+754C
04ECB-075A5	疥		介			[]	[疒]		U+4ECB	U+75A5
04ECB-082A5	芥		介			[]	[艸]		U+4ECB	U+82A5
04ECB-09F58	齘		介			[]	[齒]		U+4ECB	U+9F58
04EDD-04EDD	仝		仝			[]	[]		U+4EDD	U+4EDD
04EF6-04EF6	件		件			[]	[]		U+4EF6	U+4EF6
04F01-04F01	企		企			[]	[]		U+4F01	U+4F01
04F0F-04F0F	伏		伏			[]	[]		U+4F0F	U+4F0F
04F0F-06D11	洑		伏			[]	[水]		U+4F0F	U+6D11
04F0F-0832F	茯		伏			[]	[艸]		U+4F0F	U+832F
04F11-04F11	休		休			[]	[]		U+4F11	U+4F11
04F11-054BB	咻		休			[]	[口]		U+4F11	U+54BB
04F11-05EA5	庥		休			[]	[广]		U+4F11	U+5EA5
04F11-070CB	烋		休			[]	[火]		U+4F11	U+70CB
04F11-08C85	貅		休			[]	[豸]		U+4F11	U+8C85
04F11-09AF9	髹		休			[]	[髟]		U+4F11	U+9AF9
04F11-09D42	鵂		休			[]	[鳥]		U+4F11	U+9D42
04F59-04F58	佘		余		分	[]	[]		U+4F59	U+4F58
04F59-04F59	余		余			[]	[]		U+4F59	U+4F59
04F59-053D9	叙		余			[叙]	[攴]		U+4F59	U+53D9
04F59-05857	塗		余			[涂]	[水, 土]		U+4F59	U+5857
04F59-05F90	徐		余			[]	[彳]		U+4F59	U+5F90
04F59-06368	捨		余			[舍]	[口, 手]		U+4F59	U+6368
04F59-0659C	斜		余			[]	[斗]		U+4F59	U+659C
04F59-06D82	涂		余			[涂]	[水]		U+4F59	U+6D82
04F59-06E86	溆		余			[叙]	[攴]		U+4F59	U+6E86
04F59-06EC1	滁		余			[除]	[阜, 水]		U+4F59	U+6EC1
04F59-072F3	狳		余			[]	[犬]		U+4F59	U+72F3
04F59-0756C	畬		余			[]	[田]		U+4F59	U+756C
04F59-07572	畲		余		分	[]	[田]		U+4F59	U+7572
04F59-07A0C	稌		余			[]	[禾]		U+4F59	U+7A0C
04F59-07BE8	篨		余			[除]	[阜, 竹]		U+4F59	U+7BE8
04F59-0820D	舍		余			[舍]	[口]		U+4F59	U+820D
04F59-08212	舒		余			[舍]	[口, 予]		U+4F59	U+8212
04F59-08245	艅		余			[]	[舟]		U+4F59	U+8245
04F59-08336	茶		余			[]	[艸]	1	U+4F59	U+8336
04F59-0837C	荼		余			[]	[艸]		U+4F59	U+837C
04F59-0870D	蜍		余			[]	[虫]		U+4F59	U+870D
04F59-08CD2	賒		余		分	[]	[貝]		U+4F59	U+8CD2
04F59-09014	途		余			[]	[辵]		U+4F59	U+9014
04F59-09174	酴		余			[]	[酉]		U+4F59	U+9174
04F59-09664	除		余			[除]	[阜]		U+4F59	U+9664
04F59-09918	餘		余			[]	[食]		U+4F59	U+9918
04F59-099FC	駼		余			[]	[馬]		U+4F59	U+99FC
04F69-04F69	佩		佩			[]	[]		U+4F69	U+4F69
04F86-04F86	來		來			[]	[]		U+4F86	U+4F86
04F86-052D1	勑		來			[]	[力]		U+4F86	U+52D1
04F86-055C7	嗇		來			[嗇]	[㐭]		U+4F86	U+55C7
04F86-05B19	嬙		來			[嗇]	[㐭, 女]		U+4F86	U+5B19
04F86-05D0D	崍		來			[]	[山]		U+4F86	U+5D0D
04F86-05EE7	廧		來			[嗇]	[㐭, 广]		U+4F86	U+5EE7
04F86-05FA0	徠		來			[]	[彳]		U+4F86	U+5FA0
04F86-0674E	李		來			[]	[子]		U+4F86	U+674E
04F86-068D8	棘		來			[]	[來]		U+4F86	U+68D8
04F86-06DF6	淶		來			[]	[水]		U+4F86	U+6DF6
04F86-06FC7	濇		來			[嗇]	[㐭, 水]		U+4F86	U+6FC7
04F86-0775E	睞		來			[]	[目]		U+4F86	U+775E
04F86-07A61	穡		來			[嗇]	[㐭, 禾]		U+4F86	U+7A61
04F86-0840A	萊		來			[]	[艸]		U+4F86	U+840A
04F86-08594	薔		來			[嗇]	[㐭, 艸]		U+4F86	U+8594
04F86-08CDA	賚		來			[]	[貝]		U+4F86	U+8CDA
04F86-08F56	轖		來			[嗇]	[㐭, 車]		U+4F86	U+8F56
04F86-090F2	郲		來			[]	[邑]		U+4F86	U+90F2
04F86-09A0B	騋		來			[]	[馬]		U+4F86	U+9A0B
04F86-09BE0	鯠		來			[]	[魚]		U+4F86	U+9BE0
04F86-09EA5	麥		來			[]	[夊]		U+4F86	U+9EA5
04FC2-04FC2	係		係			[]	[]		U+4FC2	U+4FC2
04FC2-07CFB	系		係		略	[]	[]		U+4FC2	U+7CFB
04FDD-04FDD	保		保			[]	[]		U+4FDD	U+4FDD
04FDD-05446	呆		保		略	[]	[]		U+4FDD	U+5446
04FDD-05821	堡		保			[]	[土]		U+4FDD	U+5821
04FDD-07DE5	緥		保			[]	[糸]		U+4FDD	U+7DE5
04FDD-08446	葆		保			[]	[艸]		U+4FDD	U+8446
04FDD-08913	褓		保			[]	[衣]		U+4FDD	U+8913
05098-05098	傘		傘			[]	[]		U+5098	U+5098
050C9-050C9	僉		僉			[]	[]		U+50C9	U+50C9
050C9-05109	儉		僉			[]	[人]		U+50C9	U+5109
050C9-0528D	劍		僉			[]	[刀]		U+50C9	U+528D
050C9-0565E	噞		僉			[]	[口]		U+50C9	U+565E
050C9-05969	奩		僉			[]	[匚]		U+50C9	U+5969
050C9-05DAE	嶮		僉			[]	[山]		U+50C9	U+5DAE
050C9-064BF	撿		僉			[]	[手]		U+50C9	U+64BF
050C9-06582	斂		僉			[斂]	[攴]		U+50C9	U+6582
050C9-06AA2	檢		僉			[]	[木]		U+50C9	U+6AA2
050C9-06B5B	歛		僉			[]	[欠]		U+50C9	U+6B5B
050C9-06BAE	殮		僉			[]	[歹]		U+50C9	U+6BAE
050C9-07032	瀲		僉			[斂]	[攴, 水]		U+50C9	U+7032
050C9-0736B	獫		僉			[]	[犬]		U+50C9	U+736B
050C9-077BC	瞼		僉			[]	[目]		U+50C9	U+77BC
050C9-07C3D	簽		僉			[]	[竹]		U+50C9	U+7C3D
050C9-081C9	臉		僉			[]	[肉]		U+50C9	U+81C9
050C9-0859F	薟		僉			[]	[艸]		U+50C9	U+859F
050C9-0861E	蘞		僉			[斂]	[攴, 艸]		U+50C9	U+861E
050C9-096AA	險		僉			[]	[阜]		U+50C9	U+96AA
050C9-09A57	驗		僉			[]	[馬]		U+50C9	U+9A57
050C9-09E7C	鹼		僉			[]	[鹵]		U+50C9	U+9E7C
05141-05141	允		允			[]	[]		U+5141	U+5141
05141-0542E	吮		允			[]	[口]		U+5141	U+542E
05141-072C1	狁		允			[]	[犬]		U+5141	U+72C1
05144-05144	兄		兄			[]	[]		U+5144	U+5144
05144-051B5	况		兄			[]	[水]		U+5144	U+51B5
05144-06033	怳		兄			[]	[心]		U+5144	U+6033
05144-08CBA	貺		兄			[]	[貝]		U+5144	U+8CBA
05145-05145	充		充			[]	[]		U+5145	U+5145
05145-07D71	統		充			[]	[糸]		U+5145	U+7D71
05145-0833A	茺		充			[]	[艸]		U+5145	U+833A
05145-09283	銃		充			[]	[金]		U+5145	U+9283
05148-05148	先		先			[]	[]		U+5148	U+5148
05148-051BC	冼		先			[]	[冫]		U+5148	U+51BC
05148-06D17	洗		先			[]	[水]		U+5148	U+6D17
05148-07B45	筅		先			[]	[竹]		U+5148	U+7B45
05148-07BB2	箲		先			[]	[水, 竹]		U+5148	U+7BB2
05148-08A75	詵		先			[]	[言]		U+5148	U+8A75
05148-08DE3	跣		先			[]	[足]		U+5148	U+8DE3
05148-09291	銑		先			[]	[金]		U+5148	U+9291
05148-099EA	駪		先			[]	[馬]		U+5148	U+99EA
05149-05149	光		光			[]	[]		U+5149	U+5149
05149-05E4C	幌		光			[晃]	[日, 巾]		U+5149	U+5E4C
05149-0604D	恍		光			[]	[心]		U+5149	U+604D
05149-06643	晃		光			[晃]	[日]		U+5149	U+6643
05149-06844	桄		光			[]	[木]		U+5149	U+6844
05149-06D38	洸		光			[]	[水]		U+5149	U+6D38
05149-06EC9	滉		光			[晃]	[日, 水]		U+5149	U+6EC9
05149-0769D	皝		光			[]	[皇]		U+5149	U+769D
05149-080F1	胱		光			[]	[肉]		U+5149	U+80F1
05149-089E5	觥		光			[]	[角]		U+5149	U+89E5
05154-03C8B	㲋		兔		分	[]	[]		U+5154	U+3C8B
05154-05154	兔		兔			[]	[]		U+5154	U+5154
05154-083DF	菟		兔			[]	[艸]		U+5154	U+83DF
05162-05162	兢		兢			[]	[]		U+5162	U+5162
05165-05165	入		入			[]	[]		U+5165	U+5165
05165-05185	内		入			[内]	[宀]		U+5165	U+5185
05165-05450	呐		入			[内]	[宀, 口]		U+5165	U+5450
05165-06798	枘		入			[内]	[宀, 木]		U+5165	U+6798
05165-06C6D	汭		入			[内]	[宀, 水]		U+5165	U+6C6D
05165-0712B	焫		入			[内, 芮]	[宀, 艸, 火]		U+5165	U+712B
05165-07D0D	納		入			[内]	[宀, 糸]		U+5165	U+7D0D
05165-080AD	肭		入			[内]	[宀, 肉]		U+5165	U+80AD
05165-082AE	芮		入			[内, 芮]	[宀, 艸]		U+5165	U+82AE
05165-0868B	蚋		入			[内]	[宀, 虫]		U+5165	U+868B
05165-08872	衲		入			[内]	[宀, 衣]		U+5165	U+8872
05165-08A25	訥		入			[内]	[宀, 言]		U+5165	U+8A25
05165-08FBC	込		入			[]	[辵]		U+5165	U+8FBC
05165-09209	鈉		入			[内]	[宀, 金]		U+5165	U+9209
05168-04F7A	佺		全			[]	[人]		U+5168	U+4F7A
05168-05168	全		全			[]	[]		U+5168	U+5168
05168-062F4	拴		全			[]	[手]		U+5168	U+62F4
05168-06813	栓		全			[]	[木]		U+5168	U+6813
05168-07277	牷		全			[]	[牛]		U+5168	U+7277
05168-075CA	痊		全			[]	[疒]		U+5168	U+75CA
05168-07B4C	筌		全			[]	[竹]		U+5168	U+7B4C
05168-08343	荃		全			[]	[艸]		U+5168	U+8343
05168-08A6E	詮		全			[]	[言]		U+5168	U+8A6E
05168-08F07	輇		全			[]	[車]		U+5168	U+8F07
05168-09293	銓		全			[]	[金]		U+5168	U+9293
0516B-0516B	八		八			[]	[]		U+516B	U+516B
0516B-06252	扒		八			[]	[手]		U+516B	U+6252
0516D-0516D	六		六			[]	[]		U+516D	U+516D
0516D-05725	圥		六			[圥]	[屮]		U+516D	U+5725
0516D-05774	坴		六			[圥, 坴]	[屮, 土]		U+516D	U+5774
0516D-07766	睦		六			[圥, 坴]	[屮, 土, 目]		U+516D	U+7766
0516D-07A11	稑		六			[圥, 坴]	[屮, 土, 禾]		U+516D	U+7A11
0516D-09035	逵		六			[圥, 坴]	[屮, 土, 辵]		U+516D	U+9035
0516D-09678	陸		六			[圥, 坴]	[屮, 土, 阜]		U+516D	U+9678
0516D-09BE5	鯥		六			[圥, 坴]	[屮, 土, 魚]		U+516D	U+9BE5
0516E-0516E	兮		兮			[]	[]		U+516E	U+516E
0516E-0678D	枍		兮			[]	[木]		U+516E	U+678D
0516E-076FB	盻		兮			[]	[目]		U+516E	U+76FB
05171-048BC	䢼		共			[]	[邑]		U+5171	U+48BC
05171-04F9B	供		共			[]	[人]		U+5171	U+4F9B
05171-05171	共		共			[]	[]		U+5171	U+5171
05171-054C4	哄		共			[]	[口]		U+5171	U+54C4
05171-05DF7	巷		共			[巷]	[邑]		U+5171	U+5DF7
05171-05EFE	廾		共		略	[]	[]		U+5171	U+5EFE
05171-0606D	恭		共			[]	[心]		U+5171	U+606D
05171-062F1	拱		共			[]	[手]		U+5171	U+62F1
05171-06831	栱		共			[]	[木]		U+5171	U+6831
05171-06D2A	洪		共			[]	[水]		U+5171	U+6D2A
05171-06E2F	港		共			[巷]	[邑, 水]		U+5171	U+6E2F
05171-070D8	烘		共			[]	[火]		U+5171	U+70D8
05171-073D9	珙		共			[]	[玉]		U+5171	U+73D9
05171-0857B	蕻		共			[]	[蕻]		U+5171	U+857B
05171-08856	衖		共			[]	[行]		U+5171	U+8856
05171-08C3C	谼		共			[]	[谷]		U+5171	U+8C3C
05171-09B28	鬨		共			[]	[鬥]		U+5171	U+9B28
05171-09F94	龔		共			[]	[龍]		U+5171	U+9F94
05177-04FF1	俱		具			[]	[人]		U+5177	U+4FF1
05177-05177	具		具			[]	[]		U+5177	U+5177
05177-057E7	埧		具			[]	[土]		U+5177	U+57E7
05177-060E7	惧		具			[]	[心]		U+5177	U+60E7
05177-06907	椇		具			[]	[木]		U+5177	U+6907
05178-0394F	㥏		典			[]	[心]		U+5178	U+394F
05178-05178	典		典			[]	[]		U+5178	U+5178
05178-06DDF	淟		典			[]	[水]		U+5178	U+6DDF
05178-07898	碘		典			[]	[石]		U+5178	U+7898
05178-08146	腆		典			[]	[肉]		U+5178	U+8146
05179-05179	兹		兹			[]	[]		U+5179	U+5179
05179-05B73	孳		兹			[]	[子]		U+5179	U+5B73
05179-05D6B	嵫		兹			[]	[山]		U+5179	U+5D6B
05179-06148	慈		兹			[]	[心]		U+5179	U+6148
05179-06ECB	滋		兹			[]	[水]		U+5179	U+6ECB
05179-078C1	磁		兹			[]	[石]		U+5179	U+78C1
05179-093A1	鎡		兹			[]	[金]		U+5179	U+93A1
05179-09DC0	鷀		兹			[]	[鳥]		U+5179	U+9DC0
0518D-0518D	再		再			[]	[]		U+518D	U+518D
051AC-04F5F	佟		冬			[]	[人]		U+51AC	U+4F5F
051AC-051AC	冬		冬			[]	[]		U+51AC	U+51AC
051AC-067CA	柊		冬			[]	[木]		U+51AC	U+67CA
051AC-075BC	疼		冬			[]	[疒]		U+51AC	U+75BC
051AC-07D42	終		冬			[]	[糸]		U+51AC	U+7D42
051AC-087BD	螽		冬			[]	[䖵]		U+51AC	U+87BD
051AC-09F15	鼕		冬			[]	[鼓]		U+51AC	U+9F15
051F6-05147	兇		凶			[]	[卩]		U+51F6	U+5147
051F6-051F6	凶		凶			[]	[]		U+51F6	U+51F6
051F6-05308	匈		凶			[匈]	[勹]		U+51F6	U+5308
051F6-0605F	恟		凶			[匈]	[勹, 心]		U+51F6	U+605F
051F6-06C79	汹		凶			[]	[水]		U+51F6	U+6C79
051F6-06D36	洶		凶			[匈]	[勹, 水]		U+51F6	U+6D36
051F6-080F8	胸		凶			[匈]	[勹, 肉]		U+51F6	U+80F8
051F6-08A29	訩		凶			[]	[言]		U+51F6	U+8A29
051F6-09157	酗		凶			[]	[酉]		U+51F6	U+9157
051F7-051F7	凷		凷			[]	[]		U+51F7	U+51F7
051FA-05014	倔		出			[屈]	[尾, 人]		U+51FA	U+5014
051FA-051FA	出		出			[]	[]		U+51FA	U+51FA
051FA-05484	咄		出			[]	[口]		U+51FA	U+5484
051FA-05800	堀		出			[屈]	[尾, 土]		U+51FA	U+5800
051FA-05C48	屈		出			[屈]	[尾]		U+51FA	U+5C48
051FA-05D1B	崛		出			[屈]	[尾, 山]		U+51FA	U+5D1B
051FA-062D9	拙		出			[]	[手]		U+51FA	U+62D9
051FA-06398	掘		出			[屈]	[尾, 手]		U+51FA	U+6398
051FA-07A9F	窟		出			[屈]	[尾, 穴]		U+51FA	U+7A9F
051FA-07D40	絀		出			[]	[糸]		U+51FA	U+7D40
051FA-08301	茁		出			[]	[艸]		U+51FA	U+8301
051FA-08A58	詘		出			[]	[言]		U+51FA	U+8A58
051FA-09EDC	黜		出			[]	[黑]		U+51FA	U+9EDC
05205-05205	刅		刅			[]	[]		U+5205	U+5205
05205-06881	梁		刅			[梁]	[梁]		U+5205	U+6881
05205-06A11	樑		刅			[梁]	[梁, 木]		U+5205	U+6A11
05205-07CB1	粱		刅			[梁]	[梁, 米]		U+5205	U+7CB1
05217-04F8B	例		列			[]	[刀, 人]		U+5217	U+4F8B
05217-051BD	冽		列			[]	[刀, 冫]		U+5217	U+51BD
05217-05217	列		列			[]	[刀]		U+5217	U+5217
05217-05CDB	峛		列			[]	[刀]		U+5217	U+5CDB
05217-062F6	拶		列			[]	[手]		U+5217	U+62F6
05217-06D0C	洌		列			[]	[刀, 水]		U+5217	U+6D0C
05217-070C8	烈		列			[]	[刀, 火]		U+5217	U+70C8
05217-08322	茢		列			[]	[刀]		U+5217	U+8322
05217-088C2	裂		列			[]	[刀, 衣]		U+5217	U+88C2
0521D-0521D	初		初			[]	[]		U+521D	U+521D
05229-04FD0	俐		利			[]	[人]		U+5229	U+4FD0
05229-05229	利		利			[]	[]		U+5229	U+5229
05229-06D70	浰		利			[]	[水]		U+5229	U+6D70
05229-075E2	痢		利			[]	[疒]		U+5229	U+75E2
0524C-0524C	剌		剌			[]	[]		U+524C	U+524C
0524C-05B3E	嬾		剌			[賴]	[貝, 女]		U+524C	U+5B3E
0524C-061F6	懶		剌			[賴]	[貝, 心]		U+524C	U+61F6
0524C-07028	瀨		剌			[賴]	[貝, 水]		U+524C	U+7028
0524C-0737A	獺		剌			[賴]	[貝, 犬]		U+524C	U+737A
0524C-0760C	瘌		剌			[]	[疒]		U+524C	U+760C
0524C-07669	癩		剌			[賴]	[貝, 疒]		U+524C	U+7669
0524C-07C5F	籟		剌			[賴]	[貝, 竹]		U+524C	U+7C5F
0524C-08772	蝲		剌			[]	[虫]		U+524C	U+8772
0524C-08CF4	賴		剌			[賴]	[貝]		U+524C	U+8CF4
0524C-08FA3	辣		剌			[]	[辛]		U+524C	U+8FA3
0525B-0525B	剛		剛			[]	[山]		U+525B	U+525B
0529B-0529B	力		力			[]	[]		U+529B	U+529B
0529B-052D2	勒		力			[]	[革]		U+529B	U+52D2
0529B-06250	扐		力			[]	[手]		U+529B	U+6250
0529B-06738	朸		力			[]	[木]		U+529B	U+6738
0529B-06CD0	泐		力			[]	[阜, 水]		U+529B	U+6CD0
0529B-0808B	肋		力			[]	[肉]		U+529B	U+808B
0529B-0961E	阞		力			[]	[手]		U+529B	U+961E
052A3-052A3	劣		劣			[]	[]		U+52A3	U+52A3
052DE-040D5	䃕		勞			[]	[石]		U+52DE	U+40D5
052DE-052DE	勞		勞			[]	[力]		U+52DE	U+52DE
052DE-0562E	嘮		勞			[]	[力, 口]		U+52DE	U+562E
052DE-06488	撈		勞			[]	[力, 手]		U+52DE	U+6488
052DE-06F87	澇		勞			[]	[力, 水]		U+52DE	U+6F87
052DE-07296	犖		勞			[]	[牛]		U+52DE	U+7296
052DE-07646	癆		勞			[]	[力, 疒]		U+52DE	U+7646
052DE-0818B	膋		勞			[]	[肉]		U+52DE	U+818B
052FF-0520E	刎		勿			[]	[刀]		U+52FF	U+520E
052FF-052FF	勿		勿			[]	[]		U+52FF	U+52FF
052FF-0543B	吻		勿			[]	[口]		U+52FF	U+543B
052FF-05C89	岉		勿			[]	[山]		U+52FF	U+5C89
052FF-05FFD	忽		勿			[忽]	[心]		U+52FF	U+5FFD
052FF-060DA	惚		勿			[忽]	[心, 心]		U+52FF	U+60DA
052FF-06612	昒		勿			[]	[日]		U+52FF	U+6612
052FF-06B7E	歾		勿			[]	[歹]		U+52FF	U+6B7E
052FF-06C95	沕		勿			[]	[水]		U+52FF	U+6C95
052FF-06DF4	淴		勿			[忽]	[心, 水]		U+52FF	U+6DF4
052FF-07269	物		勿			[]	[牛]		U+52FF	U+7269
052FF-07B0F	笏		勿			[]	[竹]		U+52FF	U+7B0F
052FF-082B4	芴		勿			[]	[艸]		U+52FF	U+82B4
05305-04964	䥤		包			[]	[雨, 金]		U+5305	U+4964
05305-05228	刨		包			[]	[刀]		U+5305	U+5228
05305-052F9	勹		包		略	[]	[]		U+5305	U+52F9
05305-05305	包		包			[]	[]		U+5305	U+5305
05305-0530F	匏		包			[]	[夸]		U+5305	U+530F
05305-05486	咆		包			[]	[口]		U+5305	U+5486
05305-05E96	庖		包			[]	[广]		U+5305	U+5E96
05305-062B1	抱		包			[]	[手]		U+5305	U+62B1
05305-06CE1	泡		包			[]	[水]		U+5305	U+6CE1
05305-070AE	炮		包			[]	[火]		U+5305	U+70AE
05305-070B0	炰		包			[]	[火]		U+5305	U+70B0
05305-075B1	疱		包			[]	[疒]		U+5305	U+75B1
05305-076B0	皰		包			[]	[皮]		U+5305	U+76B0
05305-07832	砲		包			[]	[石]		U+5305	U+7832
05305-080DE	胞		包			[]	[肉]		U+5305	U+80DE
05305-082DE	苞		包			[]	[艸]		U+5305	U+82DE
05305-0888C	袌		包			[]	[衣]		U+5305	U+888C
05305-0888D	袍		包			[]	[衣]		U+5305	U+888D
05305-08DD1	跑		包			[]	[足]		U+5305	U+8DD1
05305-0924B	鉋		包			[]	[金]		U+5305	U+924B
05305-096F9	雹		包			[]	[雨]		U+5305	U+96F9
05305-09784	鞄		包			[]	[革]		U+5305	U+9784
05305-098AE	颮		包			[]	[風]		U+5305	U+98AE
05305-098FD	飽		包			[]	[食]		U+5305	U+98FD
05305-09B91	鮑		包			[]	[魚]		U+5305	U+9B91
0530B-0530B	匋		匋			[]	[]		U+530B	U+530B
0530B-05555	啕		匋			[]	[口]		U+530B	U+5555
0530B-0638F	掏		匋			[]	[手]		U+530B	U+638F
0530B-07DAF	綯		匋			[]	[糸]		U+530B	U+7DAF
0530B-08404	萄		匋			[]	[艸]		U+530B	U+8404
0530B-09676	陶		匋			[]	[阜]		U+530B	U+9676
0530B-09A0A	騊		匋			[]	[馬]		U+530B	U+9A0A
05316-05316	化		化			[]	[]		U+5316	U+5316
05316-0542A	吪		化			[]	[口]		U+5316	U+542A
05316-056EE	囮		化			[]	[囗]		U+5316	U+56EE
05316-0691B	椛		化			[花]	[艸, 木]		U+5316	U+691B
05316-07CC0	糀		化			[花]	[艸, 米]		U+5316	U+7CC0
05316-082B1	花		化			[花]	[艸]		U+5316	U+82B1
05316-08A1B	訛		化			[]	[言]		U+5316	U+8A1B
05316-08CA8	貨		化			[]	[貝]		U+5316	U+8CA8
05316-09774	靴		化			[]	[革]		U+5316	U+9774
05341-04EC0	什		十			[]	[人]		U+5341	U+4EC0
05341-05341	十		十			[]	[]		U+5341	U+5341
05341-053F6	叶		十			[]	[口]		U+5341	U+53F6
05341-06C41	汁		十			[]	[水]		U+5341	U+6C41
05341-08A08	計		十			[]	[言]		U+5341	U+8A08
05341-08FBB	辻		十			[]	[辵]		U+5341	U+8FBB
05341-091DD	針		十			[]	[金]		U+5341	U+91DD
05347-05347	升		升			[]	[]		U+5347	U+5347
05347-06607	昇		升			[]	[日]		U+5347	U+6607
05347-067A1	枡		升			[]	[木]		U+5347	U+67A1
05347-09629	阩		升			[]	[阜]		U+5347	U+9629
05347-0965E	陞		升			[]	[阜, 土]		U+5347	U+965E
05348-04EF5	仵		午			[]	[人]		U+5348	U+4EF5
05348-05348	午		午			[]	[]		U+5348	U+5348
05348-05378	卸		午			[御]	[卩, 辵]	2	U+5348	U+5378
05348-05FA1	御		午			[御]	[卩, 辵]		U+5348	U+5FA1
05348-05FE4	忤		午			[]	[心]		U+5348	U+5FE4
05348-06775	杵		午			[]	[木]		U+5348	U+6775
05348-06EF8	滸		午			[]	[言, 水]		U+5348	U+6EF8
05348-079A6	禦		午			[御, 禦]	[卩, 辵, 示]		U+5348	U+79A6
05348-0860C	蘌		午			[御, 禦]	[卩, 辵, 示, 艸]		U+5348	U+860C
05348-08A31	許		午			[]	[言]		U+5348	U+8A31
05348-08FD5	迕		午			[]	[辵]		U+5348	U+8FD5
05349-05349	卉		卉			[]	[]		U+5349	U+5349
0534A-04F34	伴		半			[]	[人]		U+534A	U+4F34
0534A-05224	判		半			[]	[刀]		U+534A	U+5224
0534A-0534A	半		半			[]	[]		U+534A	U+534A
0534A-062CC	拌		半			[]	[手]		U+534A	U+62CC
0534A-067C8	柈		半			[]	[木]		U+534A	U+67C8
0534A-06CEE	泮		半			[]	[水]		U+534A	U+6CEE
0534A-07249	牉		半			[]	[片]		U+534A	U+7249
0534A-07554	畔		半			[]	[田]		U+534A	U+7554
0534A-07D46	絆		半			[]	[糸]		U+534A	U+7D46
0534A-080D6	胖		半			[]	[肉]		U+534A	U+80D6
0534A-088A2	袢		半			[]	[衣]		U+534A	U+88A2
0534A-0977D	靽		半			[]	[革]		U+534A	U+977D
0534A-09816	頖		半			[]	[頁]		U+534A	U+9816
05357-05357	南		南			[]	[]		U+5357	U+5357
05357-05583	喃		南			[]	[口]		U+5357	U+5583
05357-06960	楠		南			[]	[木]		U+5357	U+6960
05357-07F71	罱		南			[]	[网]		U+5357	U+7F71
05357-08169	腩		南			[]	[肉]		U+5357	U+8169
05370-05370	印		印			[]	[]		U+5370	U+5370
05370-06291	抑		印			[]	[手]		U+5370	U+6291
05370-09BA3	鮣		印			[]	[魚]		U+5370	U+9BA3
053C8-04F51	佑		又			[右]	[口, 人]		U+53C8	U+4F51
053C8-053C8	又		又			[]	[]		U+53C8	U+53C8
053C8-053CB	友		又			[]	[又]		U+53C8	U+53CB
053C8-053F3	右		又			[右]	[口]		U+53C8	U+53F3
053C8-056FF	囿		又			[有]	[肉, 囗]		U+53C8	U+56FF
053C8-05723	圣		又			[圣]	[土]		U+53C8	U+5723
053C8-05BA5	宥		又			[有]	[肉, 宀]		U+53C8	U+5BA5
053C8-0602A	怪		又			[圣]	[土, 心]		U+53C8	U+602A
053C8-06062	恢		又			[灰]	[火, 心]		U+53C8	U+6062
053C8-06709	有		又			[有]	[肉]		U+53C8	U+6709
053C8-06D27	洧		又			[有]	[肉, 水]		U+53C8	U+6D27
053C8-07070	灰		又			[灰]	[火]		U+53C8	U+7070
053C8-075CF	痏		又			[有]	[肉, 疒]		U+53C8	U+75CF
053C8-076D4	盔		又			[灰]	[火, 皿]		U+53C8	U+76D4
053C8-07950	祐		又			[右]	[口, 示]		U+53C8	U+7950
053C8-086D5	蛕		又			[有]	[肉, 虫]		U+53C8	U+86D5
053C8-088D8	裘		又			[]	[裘]		U+53C8	U+88D8
053C8-08A7C	詼		又			[灰]	[火, 言]		U+53C8	U+8A7C
053C8-08CC4	賄		又			[有]	[肉, 貝]		U+53C8	U+8CC4
053C8-090C1	郁		又			[有]	[肉, 邑]		U+53C8	U+90C1
053C8-091A2	醢		又			[右]	[口, 皿, 酉]		U+53C8	U+91A2
053C8-09BAA	鮪		又			[有]	[肉, 魚]		U+53C8	U+9BAA
053CA-04F0B	伋		及			[]	[人]		U+53CA	U+4F0B
053CA-053CA	及		及			[]	[]		U+53CA	U+53CA
053CA-05438	吸		及			[]	[口]		U+53CA	U+5438
053CA-05C8C	岌		及			[]	[山]		U+53CA	U+5C8C
053CA-05F76	彶		及			[]	[彳]		U+53CA	U+5F76
053CA-06025	急		及			[]	[心]		U+53CA	U+6025
053CA-06271	扱		及			[]	[手]		U+53CA	U+6271
053CA-06781	极		及			[]	[木]		U+53CA	U+6781
053CA-06C72	汲		及			[]	[水]		U+53CA	U+6C72
053CA-07B08	笈		及			[]	[竹]		U+53CA	U+7B08
053CA-07D1A	級		及			[]	[糸]		U+53CA	U+7D1A
053CA-082A8	芨		及			[]	[艸]		U+53CA	U+82A8
053CA-08871	衱		及			[]	[衣]		U+53CA	U+8871
053CA-09778	靸		及			[]	[革]		U+53CA	U+9778
053D7-053D7	受		受			[]	[]		U+53D7	U+53D7
053D7-06388	授		受			[]	[手]		U+53D7	U+6388
053D7-07DAC	綬		受			[]	[糸]		U+53D7	U+7DAC
053E0-053E0	叠		叠			[]	[晶]		U+53E0	U+53E0
